sector_id,year,dva
C25,2013,3104.881
C25,2014,3050.707
C25,2015,3007.338
C25,2016,3160.213
C25,2017,3532.984
C25,2018,3967.064
C25,2019,4198.654
C25,2020,4081.625
C25,2021,4187.537
C25,2022,3932.181
C26,1995,3128.897
C26,1996,4225.54
C26,1997,3612.082
C26,1998,2727.073
C26,1999,2989.334
C26,2000,3176.214
C26,2001,2268.094
C26,2002,2971.181
C26,2003,3903.786
C26,2004,4445.76
C26,2005,5553.304
C26,2006,7105.941
C26,2007,9468.437
C26,2008,11088.872
C26,2009,10840.641
C26,2010,13252.711
C26,2011,11776.24
C26,2012,11086.752
C26,2013,11271.421
C26,2014,11610.578
C26,2015,10281.297
C26,2016,9491.312
C26,2017,11092.573
C26,2018,12283.536
C26,2019,12736.246
C26,2020,12399.091
C26,2021,13102.022
C26,2022,11554.732
C26_27,1995,4239.141
C26_27,1996,5783.766
C26_27,1997,5027.513
C26_27,1998,3911.403
C26_27,1999,4318.032
C26_27,2000,4514.262
C26_27,2001,3583.854
C26_27,2002,4410.841
C26_27,2003,5587.789
C26_27,2004,6417.053
C26_27,2005,7653.584
C26_27,2006,9546.842
C26_27,2007,12430.201
C26_27,2008,14410.121
C26_27,2009,13900.864
C26_27,2010,17000.927
C26_27,2011,15908.342
C26_27,2012,15505.487
C26_27,2013,16084.642
C26_27,2014,16700.786
C26_27,2015,15062.486
C26_27,2016,14550.549
C26_27,2017,16257.014
C26_27,2018,17830.566
C26_27,2019,18749.318
C26_27,2020,18494.254
C26_27,2021,19500.655
C26_27,2022,17349.517
C27,1995,1110.244
C27,1996,1558.226
C27,1997,1415.431
C27,1998,1184.331
C27,1999,1328.699
C27,2000,1338.048
C27,2001,1315.76
C27,2002,1439.659
C27,2003,1684.003
C27,2004,1971.292
C27,2005,2100.28
C27,2006,2440.901
C27,2007,2961.763
C27,2008,3321.25
C27,2009,3060.223
C27,2010,3748.216
C27,2011,4132.101
C27,2012,4418.735
C27,2013,4813.221
C27,2014,5090.208
C27,2015,4781.189
C27,2016,5059.238
C27,2017,5164.442
C27,2018,5547.03
C27,2019,6013.072
C27,2020,6095.163
C27,2021,6398.633
C27,2022,5794.785
C28,1995,1411.73
C28,1996,1489.502
C28,1997,1269.978
C28,1998,1020.657
C28,1999,1155.617
C28,2000,1238.746
C28,2001,1136.368
C28,2002,1251.422
C28,2003,1420.42
C28,2004,1648.695
C28,2005,1921.185
C28,2006,2290.958
C28,2007,3027.57
C28,2008,3485.468
C28,2009,3069.611
C28,2010,3905.751
C28,2011,4272.872
C28,2012,4357.391
C28,2013,4568.512
C28,2014,4254.72
C28,2015,4364.175
C28,2016,4273.887
C28,2017,4839.498
C28,2018,5346.529
C28,2019,5560.074
C28,2020,5479.295
C28,2021,5599.665
C28,2022,4993.361
C29,1995,3018.143
C29,1996,3247.511
C29,1997,2551.543
C29,1998,1756.576
C29,1999,2079.02
C29,2000,1900.046
C29,2001,1811.998
C29,2002,2215.093
C29,2003,2759.483
C29,2004,3173.484
C29,2005,3557.229
C29,2006,4079.785
C29,2007,4912.433
C29,2008,6019.5
C29,2009,4814.962
C29,2010,7153.271
C29,2011,7137.971
C29,2012,10250.849
C29,2013,10534.856
C29,2014,8554.081
C29,2015,8421.671
C29,2016,8902.574
C29,2017,9735.116
C29,2018,11263.988
C29,2019,11361.982
C29,2020,8825.558
C29,2021,10025.869
C29,2022,10056.51
C29_30,1995,3844.054
C29_30,1996,3992.47
C29_30,1997,3174.092
C29_30,1998,2214.783
C29_30,1999,2585.355
C29_30,2000,2381.026
C29_30,2001,2375.061
C29_30,2002,2847.268
C29_30,2003,3479.813
C29_30,2004,3995.606
C29_30,2005,4532.403
C29_30,2006,5170.984
C29_30,2007,6203.874
C29_30,2008,7453.492
C29_30,2009,6197.096
C29_30,2010,8802.892
C29_30,2011,8859.766
C29_30,2012,12102.03
C29_30,2013,12475.113
C29_30,2014,10422.109
C29_30,2015,10156.866
C29_30,2016,10708.061
C29_30,2017,11741.894
C29_30,2018,13499.999
C29_30,2019,13757.879
C29_30,2020,11079.392
C29_30,2021,12290.757
C29_30,2022,12256.429
C30,1995,825.911
C30,1996,744.959
C30,1997,622.55
C30,1998,458.207
C30,1999,506.335
C30,2000,480.98
C30,2001,563.063
C30,2002,632.175
C30,2003,720.33
C30,2004,822.122
C30,2005,975.174
C30,2006,1091.199
C30,2007,1291.441
C30,2008,1433.992
C30,2009,1382.134
C30,2010,1649.621
C30,2011,1721.795
C30,2012,1851.181
C30,2013,1940.257
C30,2014,1868.028
C30,2015,1735.195
C30,2016,1805.487
C30,2017,2006.778
C30,2018,2236.011
C30,2019,2395.897
C30,2020,2253.834
C30,2021,2264.888
C30,2022,2199.919
C301,1995,290.02
C301,1996,310.111
C301,1997,258.275
C301,1998,197.843
C301,1999,211.716
C301,2000,208.321
C301,2001,235.043
C301,2002,261.487
C301,2003,295.703
C301,2004,335.095
C301,2005,392.938
C301,2006,406.873
C301,2007,481.101
C301,2008,533.025
C301,2009,513.062
C301,2010,592.564
C301,2011,744.536
C301,2012,797.931
C301,2013,840.723
C301,2014,815.851
C301,2015,800.385
C301,2016,830.782
C301,2017,924.108
C301,2018,1029.553
C301,2019,1105.923
C301,2020,1032.413
C301,2021,1038.013
C301,2022,1005.945
C302T309,1995,535.891
C302T309,1996,434.848
C302T309,1997,364.275
C302T309,1998,260.364
C302T309,1999,294.619
C302T309,2000,272.659
C302T309,2001,328.02
C302T309,2002,370.688
C302T309,2003,424.627
C302T309,2004,487.027
C302T309,2005,582.237
C302T309,2006,684.326
C302T309,2007,810.34
C302T309,2008,900.967
C302T309,2009,869.073
C302T309,2010,1057.057
C302T309,2011,977.258
C302T309,2012,1053.25
C302T309,2013,1099.534
C302T309,2014,1052.177
C302T309,2015,934.81
C302T309,2016,974.705
C302T309,2017,1082.67
C302T309,2018,1206.458
C302T309,2019,1289.974
C302T309,2020,1221.421
C302T309,2021,1226.876
C302T309,2022,1193.974
